RunID,Power,TurnNum,Phase,InteractionType,CharLength,TokenCount,PromptSnippet
run_20250418_125707,AUSTRIA,2,S1901M,NEGOTIATION_ROUND_2,2813,827,"You are AUSTRIA, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_125707,FRANCE,1,S1901M,NEGOTIATION_ROUND_1,2812,824,"You are FRANCE, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_125707,FRANCE,2,S1901M,NEGOTIATION_ROUND_2,2812,824,"You are FRANCE, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_125707,TURKEY,1,S1901M,NEGOTIATION_ROUND_1,2812,827,"You are TURKEY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_125707,ENGLAND,1,S1901M,NEGOTIATION_ROUND_1,2813,828,"You are ENGLAND, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_125707,ENGLAND,2,S1901M,NEGOTIATION_ROUND_2,2813,828,"You are ENGLAND, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_125707,RUSSIA,1,S1901M,NEGOTIATION_ROUND_1,2822,832,"You are RUSSIA, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_125707,RUSSIA,2,S1901M,NEGOTIATION_ROUND_2,2822,832,"You are RUSSIA, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_141243,ITALY,1,S1901M,NEGOTIATION_ROUND_1,2811,827,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_141243,GERMANY,1,S1901M,NEGOTIATION_ROUND_1,2813,827,"You are GERMANY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_141243,AUSTRIA,1,S1901M,NEGOTIATION_ROUND_1,2813,827,"You are AUSTRIA, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_141243,FRANCE,1,S1901M,NEGOTIATION_ROUND_1,2812,824,"You are FRANCE, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_141243,ENGLAND,1,S1901M,NEGOTIATION_ROUND_1,2813,828,"You are ENGLAND, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_144816,ITALY,1,S1901M,NEGOTIATION_ROUND_1,2811,827,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,2,S1901M,NEGOTIATION_ROUND_2,3863,1052,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,3,S1901M,ORDER_SUBMISSION,3569,1046,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F NAP, A ROM, A V..."
run_20250418_144816,ITALY,4,F1901M,NEGOTIATION_ROUND_1,3493,994,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,5,F1901M,NEGOTIATION_ROUND_2,4462,1204,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,6,F1901M,ORDER_SUBMISSION,4239,1181,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A VEN, F ION, A A..."
run_20250418_144816,ITALY,7,W1901A,ORDER_SUBMISSION,3316,1073,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A APU, A TYR, F T..."
run_20250418_144816,ITALY,8,S1902M,NEGOTIATION_ROUND_1,3666,1085,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,9,S1902M,NEGOTIATION_ROUND_2,5234,1434,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,10,S1902M,ORDER_SUBMISSION,5075,1426,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A APU, A TYR, F T..."
run_20250418_144816,ITALY,11,F1902M,NEGOTIATION_ROUND_1,4157,1177,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,12,F1902M,NEGOTIATION_ROUND_2,5709,1525,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,13,F1902M,ORDER_SUBMISSION,4836,1367,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A APU, A TYR, A V..."
run_20250418_144816,ITALY,14,F1902R,NEGOTIATION_ROUND_1,4356,1209,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,15,F1902R,NEGOTIATION_ROUND_2,5597,1483,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,16,F1902R,ORDER_SUBMISSION,5277,1442,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A VIE, A T..."
run_20250418_144816,ITALY,17,W1902A,ORDER_SUBMISSION,3975,1223,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A VIE, A T..."
run_20250418_144816,ITALY,18,S1903M,NEGOTIATION_ROUND_1,4138,1174,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,19,S1903M,NEGOTIATION_ROUND_2,5814,1564,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,20,S1903M,ORDER_SUBMISSION,5418,1513,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A VIE, A T..."
run_20250418_144816,ITALY,21,S1903R,NEGOTIATION_ROUND_1,4201,1191,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,22,S1903R,NEGOTIATION_ROUND_2,6088,1607,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,23,S1903R,ORDER_SUBMISSION,5219,1454,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A VIE, A T..."
run_20250418_144816,ITALY,24,F1903M,NEGOTIATION_ROUND_1,4085,1175,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,25,F1903M,NEGOTIATION_ROUND_2,5447,1484,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,26,F1903M,ORDER_SUBMISSION,5454,1517,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A VIE, A T..."
run_20250418_144816,ITALY,27,F1903R,NEGOTIATION_ROUND_1,4029,1158,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,28,F1903R,NEGOTIATION_ROUND_2,5784,1551,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,29,F1903R,ORDER_SUBMISSION,5514,1525,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A TRI, A B..."
run_20250418_144816,ITALY,30,S1904M,NEGOTIATION_ROUND_1,4453,1253,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,31,S1904M,NEGOTIATION_ROUND_2,6126,1624,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,32,S1904M,ORDER_SUBMISSION,6621,1776,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A TRI, A B..."
run_20250418_144816,ITALY,33,S1904R,NEGOTIATION_ROUND_1,4602,1295,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,34,S1904R,NEGOTIATION_ROUND_2,6054,1619,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,35,S1904R,ORDER_SUBMISSION,6476,1756,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A BOH, F A..."
run_20250418_144816,ITALY,36,F1904M,NEGOTIATION_ROUND_1,4860,1357,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,37,F1904M,NEGOTIATION_ROUND_2,6760,1778,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,38,F1904M,ORDER_SUBMISSION,6859,1842,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A BOH, F A..."
run_20250418_144816,ITALY,39,S1905M,NEGOTIATION_ROUND_1,5140,1406,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,40,S1905M,NEGOTIATION_ROUND_2,7415,1923,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,41,S1905M,ORDER_SUBMISSION,7247,1909,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A BOH, F A..."
run_20250418_144816,ITALY,42,S1905R,NEGOTIATION_ROUND_1,5791,1530,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,43,S1905R,NEGOTIATION_ROUND_2,7919,2008,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,44,S1905R,ORDER_SUBMISSION,7446,1929,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A ROM, A BOH, A T..."
